case,signal,decile,ann_mean,spread_d10_d1,decile_spearman
large_liquid,tail_composite,4,0.13054151150085064,-0.05820948177510894,-0.6606060606060605
large_liquid,tail_composite,5,0.12422926998466266,-0.05820948177510894,-0.6606060606060605
large_liquid,tail_composite,6,0.14950042715588507,-0.05820948177510894,-0.6606060606060605
large_liquid,tail_composite,7,0.11706783867815201,-0.05820948177510894,-0.6606060606060605
large_liquid,tail_composite,8,0.1261857033723456,-0.05820948177510894,-0.6606060606060605
large_liquid,tail_composite,9,0.09672967951623389,-0.05820948177510894,-0.6606060606060605
large_liquid,tail_composite,10,0.0871560708377926,-0.05820948177510894,-0.6606060606060605
large_liquid,tail_reversal,1,0.08714672966328843,0.05794220088813554,0.6606060606060605
large_liquid,tail_reversal,2,0.0969975288366678,0.05794220088813554,0.6606060606060605
large_liquid,tail_reversal,3,0.12600227379617623,0.05794220088813554,0.6606060606060605
large_liquid,tail_reversal,4,0.11679623990163075,0.05794220088813554,0.6606060606060605
large_liquid,tail_reversal,5,0.14866147655084816,0.05794220088813554,0.6606060606060605
large_liquid,tail_reversal,6,0.12534743905814877,0.05794220088813554,0.6606060606060605
large_liquid,tail_reversal,7,0.13071635535873563,0.05794220088813554,0.6606060606060605
large_liquid,tail_reversal,8,0.13741859681970564,0.05794220088813554,0.6606060606060605
large_liquid,tail_reversal,9,0.12576933178339533,0.05794220088813554,0.6606060606060605
large_liquid,tail_reversal,10,0.14508893055142397,0.05794220088813554,0.6606060606060605
high_vix,ml_score,1,0.09565893499683799,0.07374696866996934,0.5151515151515151
high_vix,ml_score,2,0.11885150098378647,0.07374696866996934,0.5151515151515151
high_vix,ml_score,3,0.10740446998619514,0.07374696866996934,0.5151515151515151
high_vix,ml_score,4,0.1882825732599145,0.07374696866996934,0.5151515151515151
high_vix,ml_score,5,0.17246577867805674,0.07374696866996934,0.5151515151515151
high_vix,ml_score,6,0.21831451817676056,0.07374696866996934,0.5151515151515151
high_vix,ml_score,7,0.16804674434222366,0.07374696866996934,0.5151515151515151
high_vix,ml_score,8,0.17285089124157696,0.07374696866996934,0.5151515151515151
high_vix,ml_score,9,0.18670016371180004,0.07374696866996934,0.5151515151515151
high_vix,ml_score,10,0.16940590366680733,0.07374696866996934,0.5151515151515151
high_vix,tail_slope,1,0.18563069031755391,-0.05534651032690047,-0.8181818181818182
high_vix,tail_slope,2,0.152204809238068,-0.05534651032690047,-0.8181818181818182
high_vix,tail_slope,3,0.14744172806570188,-0.05534651032690047,-0.8181818181818182
high_vix,tail_slope,4,0.16925613439825277,-0.05534651032690047,-0.8181818181818182
high_vix,tail_slope,5,0.13000568907938576,-0.05534651032690047,-0.8181818181818182
high_vix,tail_slope,6,0.13931567027761305,-0.05534651032690047,-0.8181818181818182
high_vix,tail_slope,7,0.13889399661686191,-0.05534651032690047,-0.8181818181818182
high_vix,tail_slope,8,0.11559874521851533,-0.05534651032690047,-0.8181818181818182
high_vix,tail_slope,9,0.12772383148025024,-0.05534651032690047,-0.8181818181818182
high_vix,tail_slope,10,0.13028417999065345,-0.05534651032690047,-0.8181818181818182
high_vix,tail_composite,1,0.16471428658624254,-0.05347729373529736,-0.4787878787878787
